State,ZIP
AL,36107
GA,30324
AR,72903
MA,02128
MA,02149
NY,11211
NY,11236
NY,10462
NY,10580
IN,46225
WY,82001
NM,87507
KS,66214
ID,83709
ID,83202
ID,83401
ID,83651
ID,83705
KS,66603
NY,11717
TX,75061
TX,75207
TX,75042
UT,84088
UT,84104
UT,84321
UT,84501
UT,84701
AL,36606
MN,55419
NE,68106
CO,80104
CO,80239
NY,12204
OR,97220
OR,97266
OR,97303
OR,97301
OK,73107
OK,73108
OK,73118
OK,73129
OK,73401
OK,73703
OK,74063
OK,74112
OK,74115
OK,74107
OK,74401
OK,74601
OK,74801
PA,19462
CA,95949
CA,95062
CA,93313
CA,93725
CA,93901
CA,94070
CA,94110
CA,94518
CA,94545
CA,94804
CA,94901
CA,95014
CA,95126
CA,95204
CA,95401
CA,95603
CA,95616
CA,95816
CA,95826
FL,32570
FL,32801
SC,29607
NC,27616
CA,91910
CA,91911
CA,92008
CA,92058
CA,92064
CA,92121
CA,92111
CA,92551
CA,90033
CA,90404
CA,90601
CA,90660
CA,90731
CA,91352
CA,91406
CA,91723
CA,91311
CA,92841
CA,92618
CA,93030
AZ,85258
AZ,85714
VA,23502
VA,23606
TN,38108
CA,90745
CA,90045
NY,11530
MD,20855
OK,74447
GA,30318
CA,95928
CA,95687
CA,92201
CA,92806
CA,92411
CA,90221
CA,91761
CA,92262
CA,92278
NE,68508
SD,57201
SD,57042
IA,51501
MO,65109
SD,57709
CA,90015
CA,90012
CA,90803
CA,90744
CA,91342
CA,90016
CA,90013
MN,56001
CA,92037
CA,91343
CA,92503
CA,91103
CA,91105
CA,91030
CA,93230
CA,93274
CO,80249
OR,97124
MN,55901
OK,74012
MN,55415
CT,06360
CA,90802
CA,91324
CA,92509
CA,95837
CA,90405
CA,91423
CA,91608
CA,90241
CA,94133
CA,95815
TX,75211
OK,73069
OK,73075
OK,74026
OK,74066
OK,74701
PA,19003
CA,92392
CA,93301
CA,94553
CA,95747
CA,95828
CA,92708
CA,91731
CA,90602
CA,93103
CA,93215
CA,93065
CA,92101
MO,65101
ND,58501
TX,79124
ME,04736
CT,06854
NJ,07052
NJ,07644
NY,12701
NY,14210
PA,17098
MD,21632
VA,23234
NC,27127
NC,27406
NC,28328
GA,30121
GA,30277
GA,30566
FL,32643
FL,32211
FL,32817
AL,36027
AL,36201
AL,36272
AL,36274
AL,36278
AL,36804
MS,39759
MS,39168
MS,39345
MS,39355
MS,39367
MS,39501
MS,39667
KY,42101
OH,43558
OH,45365
OH,45424
IN,46514
MI,48858
MI,48891
MI,49045
MI,49319
IA,51201
IA,51566
WI,53558
WI,53910
WI,53916
WI,54023
WI,54020
WI,54449
WI,54501
WI,54806
WI,54868
MN,55412
MN,56267
SD,57252
SD,57325
SD,57350
SD,57625
ND,58072
ND,58220
MT,59044
MT,59722
MT,59474
MT,59538
IL,60962
IL,61231
IL,62230
IL,62864
IL,62901
MO,64439
MO,64601
MO,65453
KS,66935
KS,67114
KS,67401
KS,67501
KS,67901
NE,68003
NE,68850
NE,68901
NE,69021
LA,71295
AR,71667
AR,72143
AR,72455
OK,73160
OK,73626
OK,74074
TX,75241
TX,75460
TX,75551
TX,75757
TX,75801
TX,76082
TX,76028
TX,76230
TX,76240
TX,76567
TX,76645
TX,76706
TX,76834
TX,76901
TX,77430
TX,77864
TX,78387
TX,78624
TX,78801
TX,79036
TX,79347
TX,79364
TX,79501
TX,79907
CO,80221
CO,80470
CO,80814
CO,80909
CO,81039
CO,81052
WY,82701
WY,82716
WY,82901
ID,83422
ID,83467
ID,83501
ID,83607
